,title,affiliations
113,Adaptive-VP: A Framework for LLM-Based Virtual Patients that Adapts to Trainees’ Dialogue to Facilitate Nurse Communication Training,"['Seoul National University', 'Seoul National University', 'Seoul National University', 'Carnegie Mellon University', 'Carnegie Mellon University', 'Seoul National University', 'Seoul National University']"
114,Enhancing Multimodal Unified Representations for Cross Modal Generalization,"['Huawei Noah’s Ark Lab', 'Zhejiang University', 'Zhejiang University and Zhejiang University']"
115,Domain Regeneration: How well do LLMs match syntactic properties of text domains?,"['Facebook', 'New York University', 'FAIR (Meta Platforms Inc.)']"
116,Structural Deep Encoding for Table Question Answering,"['CNRS / ISIR, Sorbonne Université and CNRS', 'Université d’Angers']"
117,MPL: Multiple Programming Languages with Large Language Models for Information Extraction,"['Hebei University of Technology', 'Peking University', 'Hebei University of Technology', 'Peking University']"
118,Self-Critique Guided Iterative Reasoning for Multi-hop Question Answering,"['Harbin Institute of Technology', 'Harbin Institute of Technology', 'Harbin Institute of Technology', 'Harbin Institute of Technology', 'Harbin Institute of Technology']"
119,Anchored Answers: Unravelling Positional Bias in GPT-2’s Multiple-Choice Questions,"['University of Aberdeen', 'University of Colorado Anschutz Medical Campus']"
120,Failing Forward: Improving Generative Error Correction for ASR with Synthetic Data and Retrieval Augmentation,"['Microsoft', 'Microsoft', 'University of Maryland, College Park', 'Microsoft']"
121,LTRAG: Enhancing Autoformalization and Self-refinement for Logical Reasoning with Thought-Guided RAG,['SUN YAT-SEN UNIVERSITY']
122,Eta-WavLM: Efficient Speaker Identity Removal in Self-Supervised Speech Representations Using a Simple Linear Equation,"['University of Turin', 'University of Turin, Italy']"
123,MathCoder-VL: Bridging Vision and Code for Enhanced Multimodal Mathematical Reasoning,"['The Chinese University of Hong Kong', 'The Chinese University of Hong Kong', 'Sensetime', 'The Chinese University of Hong Kong']"
124,MlingConf: A Comprehensive Study of Multilingual Confidence Estimation on Large Language Models,"['The Chinese University of Hong Kong', 'The Chinese University of Hong Kong', 'Singapore University of Technology and Design', 'The Chinese University of Hong Kong']"
125,COMPKE: Complex Question Answering under Knowledge Editing,"['Peking University', 'King Abdullah University of Science and Technology', 'KAUST']"
126,RaaS: Reasoning-Aware Attention Sparsity for Efficient LLM Reasoning,"['Peking University', 'Peking University', 'Huawei Technologies Ltd.']"
127,One-for-All Pruning: A Universal Model for Customized Compression of Large Language Models,['Southern University of Science and Technology']
128,CLaMP 3: Universal Music Information Retrieval Across Unaligned Modalities and Unseen Languages,"['Korea Advanced Institute of Science & Technology', 'New York University', 'Central Conservatory of Music', 'Central Conservatory of Music', 'Tsinghua University']"
129,PFDial: A Structured Dialogue Instruction Fine-tuning Method Based on UML Flowcharts,"['Fudan University', 'ByteDance Inc.', 'ByteDance Inc.', 'ByteDance Inc.', 'University of Electronic Science and Technology of China', 'ByteDance Inc.', 'Fudan University', 'Fudan University', 'Fudan University']"
